talk_id,para_id,entity_id,before,entities,after,label
3,11,0,"Now, I love this story because it's true at multiple levels",Saint Yared,"was a real, historical figure, and the natural world can be our musical teacher",PERSON
3,11,1,"Now, I love this story because it's true at multiple levels",Congo,tune their instruments to the pitches of the birds in the forest around them,GPE
3,11,2,"Now, I love this story because it's true at multiple levels",Bernie Krause,"describes how a healthy environment has animals and insects taking up low, medium and high-frequency bands, in exactly the same way as a symphony does",PERSON
3,12,0,So let's go now to the uniquely human world of language,Mandarin Chinese," where a shift in melodic inflection gives the same phonetic syllable an entirely different meaning, to a language like English, where a raised pitch at the end of a sentence ",NORP
3,12,1,So let's go now to the uniquely human world of language,English, where a raised pitch at the end of a sentence ,LANGUAGE
3,14,0,As an ,Ethiopian,"American woman, I grew up around the language of Amharic, Amhariña",NORP
3,14,1,"As an Ethiopian-American woman, I grew up around the language of ",Amharic, Amhariña,GPE
3,14,2,"As an Ethiopian-American woman, I grew up around the language of Amharic, ",Amhariña," It was my first language, the language of my parents, one of the main languages of Ethiopia",GPE
3,14,3,"As an Ethiopian-American woman, I grew up around the language of Amharic, Amhariña",first,"language, the language of my parents, one of the main languages of Ethiopia",ORDINAL
3,14,4,"As an Ethiopian-American woman, I grew up around the language of Amharic, Amhariña",Ethiopia," And there are a million reasons to fall in love with this language: its depth of poetics, its double entendres, its wax and gold, its humor, its proverbs that illuminate the wisdom and follies of life",GPE
3,14,5,"As an Ethiopian-American woman, I grew up around the language of Amharic, Amhariña",Ethiopians,"in the audience, they're probably chuckling to themselves, because the word means something like ""No!"" or ""How could he?"" or ""No, he didn't",NORP
3,14,6,"As an Ethiopian-American woman, I grew up around the language of Amharic, Amhariña",Indey," — it dips, and then raises again",ORG
3,15,0,"(Music and singing """,Indey,) ,ORG
3,21,0,"Now, this is based on the work of ",Jason Moran,"and others who work intimately with music and language, but it's also something I've had in my head since I was a kid, how musical my parents sounded when they were speaking to each other and to us",PERSON
3,21,1,"Now, this is based on the work of Jason Moran and others who work intimately with music and language, but it's also something I've had in my head since I was a kid, how musical my parents sounded when they were speaking to each other and to us",Amhariña,"that I learned that we are awash in musical expression with every word, every sentence that we speak, every word, every sentence that we receive",GPE
3,22,0,"Finally, we go to the ",1950s,"United States and the most seminal work of 20th century avant-garde composition: John Cage's ""4:33,"" written for any instrument or combination of instruments",DATE
3,22,1,"Finally, we go to the 1950s ",United States,"and the most seminal work of 20th century avant-garde composition: John Cage's ""4:33,"" written for any instrument or combination of instruments",GPE
3,22,2,"Finally, we go to the 1950s United States and the most seminal work of ",20th century,"avant-garde composition: John Cage's ""4:33,"" written for any instrument or combination of instruments",DATE
3,22,3,"Finally, we go to the 1950s United States and the most seminal work of 20th century avant-garde composition: ",John Cage's,"""4:33,"" written for any instrument or combination of instruments",PERSON
3,22,4,"Finally, we go to the 1950s United States and the most seminal work of 20th century avant-garde composition: John Cage's """,4:33,""" written for any instrument or combination of instruments",TIME
3,22,5,"Finally, we go to the 1950s United States and the most seminal work of 20th century avant-garde composition: John Cage's ""4:33,"" written for any instrument or combination of instruments",the Museum of Modern Art,"— the score, that is",ORG
3,22,6,"Finally, we go to the 1950s United States and the most seminal work of 20th century avant-garde composition: John Cage's ""4:33,"" written for any instrument or combination of instruments",four minutes and 33 seconds," And, at once enraging and enrapturing, Cage shows us that even when there are no strings being plucked by fingers or hands hammering piano keys, still there is music, still there is music, still there is music",TIME
3,22,7,"Finally, we go to the 1950s United States and the most seminal work of 20th century avant-garde composition: John Cage's ""4:33,"" written for any instrument or combination of instruments",Cage,"shows us that even when there are no strings being plucked by fingers or hands hammering piano keys, still there is music, still there is music, still there is music",PERSON
3,24,0,"It is the everyday soundscape that arises from the audience themselves: their coughs, their sighs, their rustles, their whispers, their sneezes, the room, the wood of the floors and the walls expanding and contracting, creaking and groaning with the heat and the cold, the pipes clanking and contributing",Cage,s point is that there is no such thing as true silence,PERSON
3,25,0,"Now, I had my own moment of, let's say, remixing ",John Cage,a couple of months ago when I was standing in front of the stove cooking lentils,PERSON
3,25,1,"Now, I had my own moment of, let's say, remixing John Cage ",a couple of months ago,when I was standing in front of the stove cooking lentils,DATE
3,25,2,"Now, I had my own moment of, let's say, remixing John Cage a couple of months ago when I was standing in front of the stove cooking lentils",late one night,"and it was time to stir, so I lifted the lid off the cooking pot, and I placed it onto the kitchen counter next to me, and it started to roll back and forth making this sound",TIME
3,31,0,"Now, ",John Cage,wasn't instructing musicians to mine the soundscape for sonic textures to turn into music,PERSON
3,32,0,"Musician, music researcher, surgeon and human hearing expert ",Charles Limb,is a professor at Johns Hopkins University and he studies music and the brain,PERSON
3,32,1,"Musician, music researcher, surgeon and human hearing expert Charles Limb is a professor at ",Johns Hopkins University,and he studies music and the brain,ORG
4,1,0,I think about sound all the time,Twenty Thousand,Hertz,CARDINAL
4,1,1,I think about sound all the time,Hertz,""" It's all about the world's most recognizable and interesting sounds",ORG
4,3,0,,John Cage,"has made an impact on artists in many genres, from avant-garde musicians, to modern dance, to pop music",PERSON
4,3,1,"John Cage has made an impact on artists in many genres, from avant-garde musicians, to modern dance, to pop music",1948,"piece called ""In a Landscape",DATE
4,3,2,"John Cage has made an impact on artists in many genres, from avant-garde musicians, to modern dance, to pop music",In a Landscape,""" This version was recorded in 1994 by Stephen Drury",WORK_OF_ART
4,3,3,"John Cage has made an impact on artists in many genres, from avant-garde musicians, to modern dance, to pop music",1994,by Stephen Drury,DATE
4,3,4,"John Cage has made an impact on artists in many genres, from avant-garde musicians, to modern dance, to pop music",Stephen Drury, ,PERSON
4,5,0,This piece is actually not very typical of ,John Cage's,writing,PERSON
4,5,1,This piece is actually not very typical of John Cage's writing,1952, when he created the most daring piece of his career,DATE
4,6,0,,John Cage's,"""4'33''"" was performed for the first time in the summer of 1952, by renowned pianist David Tudor",PERSON
4,6,1,"John Cage's """,4'33''," was performed for the first time in the summer of 1952, by renowned pianist David Tudor",WORK_OF_ART
4,6,2,"John Cage's ""4'33''"" was performed for the ",first,"time in the summer of 1952, by renowned pianist David Tudor",ORDINAL
4,6,3,"John Cage's ""4'33''"" was performed for the first time in ",the summer of 1952, by renowned pianist David Tudor,DATE
4,6,4,"John Cage's ""4'33''"" was performed for the first time in the summer of 1952, by renowned pianist ",David Tudor," It was at the Maverick Concert hall in Woodstock, New York",PERSON
4,6,5,"John Cage's ""4'33''"" was performed for the first time in the summer of 1952, by renowned pianist David Tudor",the Maverick Concert hall,"in Woodstock, New York",FAC
4,6,6,"John Cage's ""4'33''"" was performed for the first time in the summer of 1952, by renowned pianist David Tudor",Woodstock, New York,GPE
4,6,7,"John Cage's ""4'33''"" was performed for the first time in the summer of 1952, by renowned pianist David Tudor",New York, This is a beautiful wooden building with huge openings to the outdoors,GPE
4,6,8,"John Cage's ""4'33''"" was performed for the first time in the summer of 1952, by renowned pianist David Tudor",David Tudor,"walked out on stage, sat down at the piano, then closed the piano lid",PERSON
4,6,9,"John Cage's ""4'33''"" was performed for the first time in the summer of 1952, by renowned pianist David Tudor",three,movements,CARDINAL
4,8,0,The audience had no idea what to think,Cage,is even taking his career seriously,PERSON
4,8,1,The audience had no idea what to think,John Cage,"had, well, if you could call it, composed a piece of music that really challenged some very established ideas about music composition",PERSON
4,8,2,The audience had no idea what to think,today, ,DATE
4,9,0,To understand just what ,John Cage,"was thinking, let's back up to the 1940s",PERSON
4,9,1,"To understand just what John Cage was thinking, let's back up to ",the 1940s," Back then, John Cage was making a name for himself composing for the prepared piano",DATE
4,9,2,"To understand just what John Cage was thinking, let's back up to the 1940s",John Cage,was making a name for himself composing for the prepared piano,PERSON
4,11,0,"To make music like this, ",John Cage,"would put objects inside the piano, between the strings",PERSON
4,11,1,"To make music like this, John Cage would put objects inside the piano, between the strings",Cage,"s ""Sonata V,"" from ""Sonatas and Interludes for Prepared Piano",PERSON
4,11,2,"To make music like this, John Cage would put objects inside the piano, between the strings",Sonata V,""" from ""Sonatas and Interludes for Prepared Piano",WORK_OF_ART
4,11,3,"To make music like this, John Cage would put objects inside the piano, between the strings",Sonatas and Interludes for Prepared Piano,""" Probably his most famous work outside of ""4'33''",WORK_OF_ART
4,11,4,"To make music like this, John Cage would put objects inside the piano, between the strings",Boris Berman, John Cage wrote incredibly detailed instructions about where to place each object in the piano,PERSON
4,11,5,"To make music like this, John Cage would put objects inside the piano, between the strings",John Cage,wrote incredibly detailed instructions about where to place each object in the piano,PERSON
4,12,0,,John Cage,"was becoming increasingly interested in chance and randomness and letting the universe provide the answer to the question ""What note should I play next?"" But to hear the answer to the question, first, you have to listen",PERSON
4,12,1,"John Cage was becoming increasingly interested in chance and randomness and letting the universe provide the answer to the question ""What note should I play next?"" But to hear the answer to the question, ",first, you have to listen,ORDINAL
4,12,2,"John Cage was becoming increasingly interested in chance and randomness and letting the universe provide the answer to the question ""What note should I play next?"" But to hear the answer to the question, first, you have to listen",the 1940s, listening to the universe was getting harder to do,DATE
4,14,0,The Muzak company was founded in ,the '30s," It really took off, and soon, there was constant background music nearly everywhere",DATE
4,14,1,The Muzak company was founded in the '30s,John Cage,realized that people were losing the option to shut out the background music of the world,PERSON
4,14,2,The Muzak company was founded in the '30s,Muzak,would prevent people from hearing silence altogether,ORG
4,15,0,In ,1948," four years before he wrote ""4'33'',"" John Cage mentioned that he wanted to write a four-and-a-half-minute-long piece of silence and sell it to the Muzak company",DATE
4,15,1,"In 1948, ",four years,"before he wrote ""4'33'',"" John Cage mentioned that he wanted to write a four-and-a-half-minute-long piece of silence and sell it to the Muzak company",DATE
4,15,2,"In 1948, four years before he wrote ""4'33'',"" ",John Cage,mentioned that he wanted to write a four-and-a-half-minute-long piece of silence and sell it to the Muzak company,PERSON
4,15,3,"In 1948, four years before he wrote ""4'33'',"" John Cage mentioned that he wanted to write a ",four,and-a-half-minute-long piece of silence and sell it to the Muzak company,CARDINAL
4,15,4,"In 1948, four years before he wrote ""4'33'',"" John Cage mentioned that he wanted to write a four-and-a-half-minute-long piece of silence and sell it to the ",Muzak,company,ORG
4,15,5,"In 1948, four years before he wrote ""4'33'',"" John Cage mentioned that he wanted to write a four-and-a-half-minute-long piece of silence and sell it to the Muzak company",John Cage,was starting to think deeply about silence,PERSON
4,16,0,,John Cage,visited an anechoic chamber at Harvard University,PERSON
4,16,1,John Cage visited an anechoic chamber at ,Harvard University, Anechoic chambers are rooms that are acoustically treated to minimize sound to almost zero,ORG
4,16,2,John Cage visited an anechoic chamber at Harvard University,almost zero," There are no sounds in these rooms, so John Cage didn't expect to hear anything at all",CARDINAL
4,16,3,John Cage visited an anechoic chamber at Harvard University,John Cage,didn't expect to hear anything at all,PERSON
4,18,0,"I've personally experienced an anechoic chamber, and it's a really wild experience that can completely change your perceptions about sound and silence",John Cage, I could very clearly hear my blood pushing through my body,PERSON
4,19,0,,John Cage,"realized, in that moment, that no matter where we are, even our bodies are making sound",PERSON
4,20,0,This is where ,John Cage's,interest in chance and randomness met his interest in silence,PERSON
4,20,1,This is where John Cage's interest in chance and randomness met his interest in silence,first,time when you're really ready to listen,ORDINAL
4,21,0,"That's what's so often misunderstood about ""4'33''",John Cage,really wanted us to hear is the beauty of the sonic world around us,PERSON
4,25,0,(,Crickets,chirping and owl hooting) ,ORG
