talk_id,para_id,entity_id,before,entities,after,label
165,25,18,""" And he got me five acres of land on ",San Francisco Bay,"and we got an architect and we got a general contractor and we got Herbie on the board, and our friends from HP, and our friends from Steelcase, and our friends from Cisco, and our friends from Wells Fargo and Genentech",LOC
165,25,19,""" And he got me five acres of land on San Francisco Bay and we got an architect and we got a general contractor and we got Herbie on the board, and our friends from ",HP," and our friends from Steelcase, and our friends from Cisco, and our friends from Wells Fargo and Genentech",LOC
165,25,20,""" And he got me five acres of land on San Francisco Bay and we got an architect and we got a general contractor and we got Herbie on the board, and our friends from HP, and our friends from ",Steelcase," and our friends from Cisco, and our friends from Wells Fargo and Genentech",PERSON
165,25,21,""" And he got me five acres of land on San Francisco Bay and we got an architect and we got a general contractor and we got Herbie on the board, and our friends from HP, and our friends from Steelcase, and our friends from ",Cisco, and our friends from Wells Fargo and Genentech,LOC
165,25,22,""" And he got me five acres of land on San Francisco Bay and we got an architect and we got a general contractor and we got Herbie on the board, and our friends from HP, and our friends from Steelcase, and our friends from Cisco, and our friends from ",Wells Fargo,and Genentech,ORG
165,25,23,""" And he got me five acres of land on San Francisco Bay and we got an architect and we got a general contractor and we got Herbie on the board, and our friends from HP, and our friends from Steelcase, and our friends from Cisco, and our friends from Wells Fargo and ",Genentech,,ORG
165,29,0, In ,Pennsylvania,"it costs 60,000 dollars to keep people in jail, most of whom look like me",LOC
165,29,3," It's 40,000 dollars to build ",the University of Pittsburgh Medical School," It's 20,000 dollars cheaper to build a medical school than to keep people in jail",ORG
165,29,5, I am banking on you and I'm banking on guys like ,Herbie,and Quincy and Hackett and Richard and very decent people who still believe in something,LOC
165,29,6, I am banking on you and I'm banking on guys like Herbie and ,Quincy,and Hackett and Richard and very decent people who still believe in something,PERSON
165,29,7, I am banking on you and I'm banking on guys like Herbie and Quincy and ,Hackett,and Richard and very decent people who still believe in something,PERSON
166,6,16," What I have showed you here is only the species from Africa, ",Adansonia,digitata,LOC
166,6,18, We have six species yet in ,Madagascar," and we don't know what is the potential of this plant, but one thing we know is that the flora is considered to be threatened with extinction",LOC
166,10,1," Now, ",Centella,"asiatica grows across the world in many different habitats — in Africa, in Asia — and this plant has been instrumental in providing a solution to that dreadful disease called leprosy in Madagascar in the 1940s",PERSON
167,3,7," They are sold in the name of forced labor, ",camel jockeying," anything, everything",ORG
167,18,0,I'm not asking you all to become ,Mahatma Gandhis,"or Martin Luther Kings, or Medha Patkars, or something like that",PERSON
167,18,1,I'm not asking you all to become Mahatma Gandhis or ,Martin Luther Kings," or Medha Patkars, or something like that",PERSON
167,18,2,"I'm not asking you all to become Mahatma Gandhis or Martin Luther Kings, or ",Medha Patkars, or something like that,PERSON
168,21,7,""" (Applause) And I like this one, """,Snow Has Returned to Kilimanjaro,""" (Laughter) And finally, an eBay listing for one well-traveled slide show, now obsolete, museum piece",WORK_OF_ART
168,21,8,""" (Laughter) And finally, an ",eBay,"listing for one well-traveled slide show, now obsolete, museum piece",ORG
168,21,10, Please contact ,Al Gore," And I believe that, working together, we can make all of these things happen",PERSON
169,18,15, So we can say with a high degree of confidence that the severe Texas and ,Moscow,heatwaves were not natural; they were caused by global warming,LOC
169,18,16," An important impact, if global warming continues, will be on the breadbasket of our nation and the world, the ",Midwest,"and Great Plains, which are expected to become prone to extreme droughts, worse than the Dust Bowl, within just a few decades, if we let global warming continue",LOC
169,18,17," An important impact, if global warming continues, will be on the breadbasket of our nation and the world, the Midwest and ",Great Plains," which are expected to become prone to extreme droughts, worse than the Dust Bowl, within just a few decades, if we let global warming continue",ORG
170,18,0,"♫ Together: The Jill and Julia, the ",Jill,"and Julia, the Jill and Julia Show",PERSON
170,47,2," I mean, I watch Oprah mostly when I'm home in ",Spokane,visiting my mother,ORG
170,47,3," And to my mother, ",Oprah,"is a greater moral authority than the Pope, which is actually saying something because she's a devout Catholic",PERSON
170,47,9," And that was that she did two entire shows promoting that movie """,The Secret,""" Do you guys know about that movie ""The Secret""? It makes ""What the Bleep Do We Know"" seem like a doctoral dissertation from Harvard on quantum mechanics — that's how bad it is",WORK_OF_ART
170,47,11,""" Do you guys know about that movie ""The Secret""? It makes """,What the Bleep Do We Know, seem like a doctoral dissertation from Harvard on quantum mechanics — that's how bad it is,WORK_OF_ART
170,47,12,""" Do you guys know about that movie ""The Secret""? It makes ""What the Bleep Do We Know"" seem like a doctoral dissertation from ",Harvard,on quantum mechanics — that's how bad it is,ORG
170,47,13,""" Do you guys know about that movie ""The Secret""? It makes ""What the Bleep Do We Know"" seem like a doctoral dissertation from Harvard on ",quantum mechanics,— that's how bad it is,ORG
170,47,14," It makes """,The DaVinci Code," seem like ""War and Peace",WORK_OF_ART
170,47,15," It makes ""The DaVinci Code"" seem like """,War and Peace,""" That movie is so horrible",WORK_OF_ART
170,47,16," On a scientific basis, it's more than just """,Power of Positive Thinking," — it has a horrible, horrible dark side",WORK_OF_ART
170,47,17, And all I'm saying is that I really wish that ,Murray Gell-Mann,"would go on Oprah and just explain to her that the law of attraction is, in fact, not a law",PERSON
171,0,1,"In 1977, the physicist ",Edward Purcell,"calculated that if you push a bacteria and then let go, it will stop in about a millionth of a second",PERSON
171,0,5," In 1883, the physicist ",Osborne Reynolds,figured out that there is one simple number that can predict how a fluid will behave,PERSON
171,0,7, It's called the ,Reynolds,"number, and it depends on simple properties like the size of the swimmer, its speed, the density of the fluid, and the stickiness, or the viscosity, of the fluid",PERSON
171,0,9," To imagine what it would feel like to be a sperm, you need to bring yourself down to its ",Reynolds,number,ORG
171,0,11," By cleverly flexing their paddle to create more drag on the power stroke than on the recovery stroke, single-celled organisms like ",paramecia,manage to inch their way through the crowd of water molecules,LOC
171,0,13, ,H. pylori,"lives only in the slimy, acidic mucus inside our stomachs",PERSON
172,16,5, My colleagues ,Tal Yarkoni,and Russ Poldrack have shown that the insula pops up in almost a third of all brain imaging studies that have ever been published,PERSON
172,16,6, My colleagues Tal Yarkoni and ,Russ Poldrack,have shown that the insula pops up in almost a third of all brain imaging studies that have ever been published,PERSON
172,20,2," These scans, the clinics say, can help prevent Alzheimer's disease, solve weight and addiction issues, overcome marital conflicts, and treat, of course, a variety of mental illnesses ranging from depression to anxiety to ",ADHD, This sounds great,ORG
173,17,13," And in fact, George Bush and ",Tony Blair,are having great fun during all of this,PERSON
173,19,1," So, ",Jamie Oliver,"and school dinners; Bush and Blair having difficulty getting alongside Muslim culture; the whole of the hunting issue, and the royal family refusing to stop hunting; and the tsunami issues; and obviously Harry; Blair's views on Gordon Brown, which I find very interesting; Condi and Bush",PERSON
173,19,2," So, Jamie Oliver and school dinners; ",Bush,"and Blair having difficulty getting alongside Muslim culture; the whole of the hunting issue, and the royal family refusing to stop hunting; and the tsunami issues; and obviously Harry; Blair's views on Gordon Brown, which I find very interesting; Condi and Bush",PERSON
173,19,3," So, Jamie Oliver and school dinners; Bush and ",Blair,"having difficulty getting alongside Muslim culture; the whole of the hunting issue, and the royal family refusing to stop hunting; and the tsunami issues; and obviously Harry; Blair's views on Gordon Brown, which I find very interesting; Condi and Bush",PERSON
173,19,7," So, Jamie Oliver and school dinners; Bush and Blair having difficulty getting alongside Muslim culture; the whole of the hunting issue, and the royal family refusing to stop hunting; and the tsunami issues; and obviously Harry; Blair's views on ",Gordon Brown, which I find very interesting; Condi and Bush,PERSON
173,19,8," So, Jamie Oliver and school dinners; Bush and Blair having difficulty getting alongside Muslim culture; the whole of the hunting issue, and the royal family refusing to stop hunting; and the tsunami issues; and obviously Harry; Blair's views on Gordon Brown, which I find very interesting; ",Condi,and Bush,PERSON
174,0,4, Since ,Emile Boirac,"introduced déjà vu as a French term meaning ""already seen,"" more than 40 theories attempt to explain this phenomenon",PERSON
175,3,5," That little hole in the middle there is for the pollen tube, and when the pollen finds its special female spot in another ",Morina,"flower, just on the right species, what happens? Like I said, pollen carries the male sex cells",LOC
175,6,3," And I'm rather proud to say that this was found just near London, and that 55 million years ago ",London,was full of mangroves,LOC
175,11,0, Thank you to the colleagues at ,Kew, and thank you to palynologists everywhere,PERSON
176,6,8," These are not just crop plants, as you might have seen stored in ",Svalbard,in Norway — fantastic work there,ORG
176,6,9," These are not just crop plants, as you might have seen stored in Svalbard in ",Norway,— fantastic work there,LOC
176,8,1,"We have training going on in China, in the ",USA, and many other countries,LOC
178,17,17, Protected areas provide hope that the creatures of ,Ed Wilson's,"dream of an encyclopedia of life, or the census of marine life, will live not just as a list, a photograph, or a paragraph",PERSON
178,18,6, 97 percent of the land in ,the Galapagos Islands,"is protected, but the adjacent sea is being ravaged by fishing",LOC
179,15,7,"' And the thing is,"" says ",Ira Glass," ""we need this",PERSON
